mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
8	7	20	20	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	68	blü-												
8	7	83/4	83/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	69	-hen												
8	7	21	21	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	70	im												
8	7	37/2	37/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	71										15			
8	7	19	19	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	72										15			
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	73													
8	7	20	20	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	74										16			
8	7	41/2	41/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	75										16			
8	7	21	21	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	76													
8	7	37/2	37/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	77													
8	7	20	20	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	78													
9	8	43/2	43/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	79	Mai;												
9	8	24	24	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	80	ich												
9	8	43/2	43/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	81										17			
9	8	22	22	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	82										17			
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	83													
9	8	23	23	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	84										18			
9	8	47/2	47/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	85										18			
9	8	24	24	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	86													
9	8	43/2	43/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	87													
9	8	23	23	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	88													
10	9	49/2	49/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	89	träum-												
10	9	101/4	101/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	90	-te												
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	91	von												
10	9	26	26	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	92	grü-												
10	9	53/2	53/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	93													
10	9	27	27	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	94	-nen												
10	9	49/2	49/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	95										19			
10	9	25	25	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	96										19			
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	97													
10	9	26	26	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	98										20			
10	9	53/2	53/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	99										20			
10	9	27	27	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	100													
10	9	49/2	49/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	101													
10	9	26	26	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	102													
11	10	55/2	55/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	103	Wie-									21			
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	104													
11	10	29	29	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	105	-sen,												
11	10	30	30	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	106	von												
11	10	55/2	55/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	107										22			
11	10	28	28	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	108										22			
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	109													
11	10	29	29	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	110										23			
11	10	59/2	59/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	111										23			
11	10	30	30	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	112													
11	10	55/2	55/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	113													
11	10	29	29	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	114													
12	11	61/2	61/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	115	lus-		ornamentShortTrill										
12	11	125/4	125/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	116	-sti-												
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	117	-gem												
12	11	32	32	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	118	Vo-		ornamentShortTrill										
12	11	131/4	131/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	119	-gel												
12	11	33	33	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	120	ge-												
12	11	61/2	61/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	121										24			
12	11	31	31	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	122										24			
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	123													
12	11	32	32	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	124										25			
12	11	65/2	65/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	125										25			
12	11	33	33	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	126													
12	11	61/2	61/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	127													
12	11	32	32	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	128													
13	12	67/2	67/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	129	-schrei,												
13	12	34	34	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	130													
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	131													
13	12	35	35	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	132													
13	12	71/2	71/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	133	von												
13	12	143/4	143/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	134													
13	12	36	36	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	135													
13	12	145/4	145/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	136													
13	12	67/2	67/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	137										26			
13	12	34	34	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	138										26			
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	139													
13	12	35	35	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	140										27			
13	12	71/2	71/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	141										27			
13	12	36	36	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	142													
13	12	67/2	67/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	143													
13	12	35	35	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	144													
14	13	73/2	73/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	145	lus-												
14	13	149/4	149/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	146	-sti-												
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	147	-gem												
14	13	38	38	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	148	Vo-												
14	13	155/4	155/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	149	-gel												
14	13	39	39	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	150	ge-												
14	13	73/2	73/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	151										28			
14	13	37	37	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	152										28			
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	153													
14	13	38	38	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	154										29			
14	13	77/2	77/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	155										29			
14	13	39	39	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	156													
14	13	73/2	73/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	157													
14	13	38	38	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	158													
15	14	79/2	79/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	159	schrei,												
15	14	42	42	0.0	5/8	5/8	Dynamic	6/8	1	1	0						mf											
15	14	42	42	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	160	Und												
15	14	79/2	79/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	161										30			
15	14	40	40	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	162										30			
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	163													
15	14	41	41	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	164													
15	14	79/2	79/2	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	165													
15	14	41	41	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	166													
15	14	79/2	79/2	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	167													
15	14	41	41	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	168													
16	15	85/2	85/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	169	als												
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	170	die												
16	15	44	44	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	171	Häh-												
16	15	45	45	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	172	-ne												
16	15	85/2	85/2	0.0	0	0	Dynamic	6/8	2	1	0						mf											
16	15	85/2	85/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	173													
16	15	44	44	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	174													
16	15	85/2	85/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	175													
16	15	44	44	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	176													
17	16	91/2	91/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	177	kräh-												
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	178	-ten												
17	16	48	48	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	179	da												
17	16	91/2	91/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	180													
17	16	46	46	0.0	1/8	1/8	Dynamic	6/8	2	1	0						f											
17	16	93/2	93/2	0.0	1/4	1/4	Spanner	6/8	2	1	0																0	
17	16	93/2	93/2	0.16666666666666666	1/4	1/4	Chord	6/8	2	1	1/24		1/16	2/3	181												0	
17	16	140/3	140/3	0.0	7/24	7/24	Spanner	6/8	2	1	0																	
17	16	140/3	140/3	0.16666666666666666	7/24	7/24	Chord	6/8	2	1	1/24		1/16	2/3	182													
17	16	281/6	281/6	0.16666666666666666	1/3	1/3	Chord	6/8	2	1	1/24		1/16	2/3	183													
17	16	47	47	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	184													
17	16	91/2	91/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	185													
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	186													
17	16	47	47	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	187													
18	17	97/2	97/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	188	ward												
18	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	189	mein												
18	17	50	50	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	190	Au-												
18	17	203/4	203/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	191													
18	17	51	51	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	192	-ge												
18	17	97/2	97/2	0.0	0	0	Dynamic	6/8	2	1	0						p											
18	17	97/2	97/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	193													
18	17	50	50	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	194													
18	17	97/2	97/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	195													
18	17	50	50	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	196													
19	18	103/2	103/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	197	wach;												
19	18	54	54	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	198	da												
19	18	103/2	103/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	199													
19	18	52	52	0.0	1/8	1/8	Dynamic	6/8	2	1	0						f											
19	18	105/2	105/2	0.0	1/4	1/4	Spanner	6/8	2	1	0																1	
19	18	105/2	105/2	0.16666666666666666	1/4	1/4	Chord	6/8	2	1	1/24		1/16	2/3	200												1	
19	18	158/3	158/3	0.0	7/24	7/24	Spanner	6/8	2	1	0																	
19	18	158/3	158/3	0.16666666666666666	7/24	7/24	Chord	6/8	2	1	1/24		1/16	2/3	201													
19	18	317/6	317/6	0.16666666666666666	1/3	1/3	Chord	6/8	2	1	1/24		1/16	2/3	202													
19	18	53	53	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	203													
19	18	103/2	103/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	204													
19	18	105/2	105/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	205													
19	18	53	53	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	206													
20	19	109/2	109/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	207	war												
20	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	208	es												
20	19	56	56	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	209	kalt												
20	19	57	57	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	210	und												
20	19	109/2	109/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	211													
20	19	56	56	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	212													
20	19	109/2	109/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	213													
20	19	56	56	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	214													
21	20	115/2	115/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	215	fin-												
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	216	-ster,												
21	20	60	60	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	217	es												
21	20	115/2	115/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	218													
21	20	117/2	117/2	0.0	1/4	1/4	Dynamic	6/8	2	1	0						f											
21	20	117/2	117/2	0.0	1/4	1/4	Spanner	6/8	2	1	0																2	
21	20	117/2	117/2	0.16666666666666666	1/4	1/4	Chord	6/8	2	1	1/24		1/16	2/3	219												2	
21	20	176/3	176/3	0.0	7/24	7/24	Spanner	6/8	2	1	0																	
21	20	176/3	176/3	0.16666666666666666	7/24	7/24	Chord	6/8	2	1	1/24		1/16	2/3	220													
21	20	353/6	353/6	0.16666666666666666	1/3	1/3	Chord	6/8	2	1	1/24		1/16	2/3	221													
21	20	59	59	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	222													
21	20	60	60	0.0	5/8	5/8	Dynamic	6/8	2	1	0						ff											
21	20	60	60	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	223													
21	20	115/2	115/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	224													
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	225										31			
21	20	59	59	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	226													
21	20	60	60	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	227													
22	21	121/2	121/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	228	schrie-												
22	21	245/4	245/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	229	-en												
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	230	die												
22	21	62	62	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	231	Ra-												
22	21	251/4	251/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	232	-ben												
22	21	63	63	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	233	vom												
22	21	121/2	121/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	234													
22	21	62	62	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	235													
22	21	121/2	121/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	236													
22	21	62	62	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	237													
23	22	127/2	127/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	238	Dach,												
23	22	66	66	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	239	da												
23	22	127/2	127/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	240													
23	22	129/2	129/2	0.0	1/4	1/4	Dynamic	6/8	2	1	0						fz											
23	22	129/2	129/2	0.0	1/4	1/4	Spanner	6/8	2	1	0																3	
23	22	129/2	129/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	241												3	
23	22	65	65	0.0	3/8	3/8	Spanner	6/8	2	1	0																	
23	22	65	65	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	242													
23	22	127/2	127/2	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	243													
23	22	255/4	255/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	244													
23	22	64	64	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	245													
23	22	257/4	257/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	246													
23	22	129/2	129/2	0.25	1/4	1/4	Chord	6/8	3	1	1/16		1/16	1	247													
23	22	259/4	259/4	0.25	5/16	5/16	Chord	6/8	3	1	1/16		1/16	1	248													
23	22	65	65	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	249													
23	22	261/4	261/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	250													
23	22	131/2	131/2	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	251													
23	22	263/4	263/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	252													
23	22	66	66	0.25	5/8	5/8	Chord	6/8	3	1	1/16		1/16	1	253													
23	22	265/4	265/4	0.25	11/16	11/16	Chord	6/8	3	1	1/16		1/16	1	254													
24	23	133/2	133/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	255	war												
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	256	es												
24	23	68	68	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	257	kalt												
24	23	69	69	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	258	und												
24	23	133/2	133/2	0.0	0	0	Dynamic	6/8	2	1	0						p											
24	23	133/2	133/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	259										32			
24	23	133/2	133/2	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	260													
24	23	267/4	267/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	261													
24	23	67	67	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	262													
24	23	269/4	269/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	263													
